       category  GET     categories/search                Category :search
      enclosure  GET     enclosures/:id                   Enclosur :show
     engagement  GET     engagements/:id                  Engagement :show
        episode  GET     episodes/search                  Episod :search
           feed  GET     feeds/:id                        Feed :show
            gig  GET     gigs/:id                         Gig :show
       language  GET     languages/:id                    Language :show
        persona  GET     personas/search                  Person :search
        persona  GET     personas/:id                     Person :show
           user  GET     users/:id                        User :show
           user  POST    users                            User :create
 recommendation  GET     recommendations/:id              Recommendation :show
        podcast  GET     podcasts/search                  Podcas :search
        podcast  GET     podcasts/:id                     Podcas :show
           like  GET     likes/:id                        Like :show
         follow  GET     follows/:id                      Follow :show
   subscription  GET     subscriptions/:id                Subscription :show
         search  GET     search                           Search :search
           like  POST    pan/likes/toggle                 Like :toggle
         follow  POST    pan/follows/toggle               Follow :toggle
   subscription  POST    pan/subscriptions/toggle         Subscription :toggle
            gig  POST    pan/gigs/toggle                  Gig :toggle
 recommendation  POST    pan/recommendations              Recommendation :create
 recommendation  GET     pan/recommendations/my           Recommendation :my
           opml  GET     pan/opmls/:id/import             Opml :import
           opml  GET     pan/opmls                        Opml :index
           opml  GET     pan/opmls/:id                    Opml :show
           opml  POST    pan/opmls                        Opml :create
           opml  DELETE  pan/opmls/:id                    Opml :delete
   feed_backlog  GET     pan/feed_backlogs/:id            FeedBacklo :show
   feed_backlog  POST    pan/feed_backlogs                FeedBacklo :create
        message  GET     pan/messages/my                  Messag :my
        message  GET     pan/messages/:id                 Messag :show
           user  PUT     pan/update_password              User :update_password
           user  PATCH   pan/update_user                  User :update_user
        persona  POST    pan/personas/:id/claim           Person :claim
        persona  PUT     pan/personas/:id                 Person :update
     delegation  GET     pan/delegations/:id              Delegation :show
        persona  POST    pro/personas/:id/redirect        Person :redirect
        persona  POST    pro/personas/:id/cancel_redirect Person :cancel_redirect
        persona  PUT     pro/personas/:id                 Person :pro_update
     delegation  POST    pro/delegations/toggle           Delegation :toggle
